avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_95.0,perc_0.0,perc_99.9,perc_90.0,perc_100.0,perc_99.0,perc_50.0,rc_200,label
0,0.22571,0.91976,12680995,1,0,0.33987,90,90,1.63000,0.48900,2.22300,1.29000,2.22300,2.22300,0.84000,90,
0,0.20235,0.67510,781221,4,0,0.06683,20,20,0.84500,0.60800,0.84500,0.83200,0.84500,0.84500,0.65500,20,http://www.centurylink.com/home/help/contact.html
0,0.22036,1.07132,5247573,5,0,0.32014,22,22,1.39100,0.66600,2.22300,1.29000,2.22300,2.22300,1.01300,22,http://www.centurylink.com/home/help.html
0,0.25571,1.18642,5676168,5,0,0.33032,24,24,1.96800,0.79800,1.98300,1.68800,1.98300,1.98300,1.05300,24,http://www.centurylink.com/index_a.html
0,0.22008,0.71804,976033,1,0,0.11699,24,24,0.95000,0.48900,0.96800,0.90600,0.96800,0.96800,0.68100,24,http://www.centurylink.com/home/
